Currency,Unit,,Description,FY 23,Q3 24
$,Thousand,Indent,Pinos Altos - Production costs,"145,936","46,464"
$,Thousand,,Cash Operating Margin,"66,940","21,872"
$,Thousand,Indent,Amortization for Pinos Altos,"63,125","13,220"
$,Thousand,,Operating profit post amortization,"3,815","8,652"
,,Abstract bold,Pinos Altos - Cost Reconciliation:,,
$,Thousand,,Pinos Altos - Production costs,"145,936","46,464"
$,Thousand,Indent,"Pinos Altos - Byproduct revenues, net of smelting, refining and marketing charges","-27,339","-10,517"
$,Thousand,Indent,Pinos Altos - Inventory adjustment,"1,408","-3,231"
$,Thousand,Indent,Pinos Altos - Non-cash reclamation provision, -   , -   
$,Thousand,Indent,     Pinos Altos - Stripping costs, -   , -   
$,Thousand,Indent,Pinos Altos - Cash operating costs,"120,005","32,716"
$,Actual,bold,Pinos Altos - Total cash costs ( Per ounce of commercial production),"1,229","1,531"
$,Thousand,,Pinos Altos - Minesite operating costs (USD$),"146,096","42,916"
$,Actual,,Pinos Altos - Minesite costs per tonne (USD$),88,96
,,, ,,
,,Abstract bold color indent,Costs for Pinos Altos (stand alone),,
$,Thousand,Indent,Pinos Altos - Production costs,"145,936","46,464"
$,Thousand,Indent,Cash Operating Margin,"66,940","21,872"
$,Thousand,Indent,Amortization for Pinos Altos,"63,125","13,220"
$,Thousand,,Operating profit post amortization,"3,815","8,652"
,,Abstract bold,Pinos Altos - Cost Reconciliation,,
$,Thousand,,Pinos Altos - Production costs,"145,936","46,464"
$,Thousand,Indent,Pinos Altos - By-product metal revenues,"-27,339","-10,517"
$,Thousand,Indent,Pinos Altos - Inventory and other adjustments,"1,408","-3,231"
$,Thousand,Indent,Pinos Altos - Non-cash reclamation provision, -   ,
$,Thousand,Indent,"Cash and cash equivalents, end of period", -   ,
$,Thousand,Indent,Pinos Altos - Cash operating costs,"120,005","32,716"
$,Actual,Bold,Pinos Altos - Total cash costs (Per ounce of commercial production),"1,229","1,531"
$,Thousand,,Pinos Altos - Minesite operating costs (USD$),"146,096","42,916"
$,Actual,,Pinos Altos - Minesite costs per tonne (USD$),88,96
,,Abstract bold color indent,Capital Expenditures (Pinos Altos),,
$,Thousand,,Total Capital Expenditures,"32,645","7,454"
$,Thousand,,Total Sustaining Capital Expenditures,"28,449","7,099"
,,Abstract bold color indent,Costs for Creston Mascota (stand alone),,
$,Thousand,Indent,Creston Mascota - Production costs, -   , -   
$,Thousand,Indent,Cash Operating Margin, -   , -   
$,Thousand,Indent,Amortization for Creston Mascota, -   , -   
$,Thousand,,Operating profit post amortization, -   , -   
,,Abstract bold,Creston Mascota - Cost Reconciliation,,
$,Thousand,,Creston Mascota - Production costs, -   , -   
$,Thousand,Indent,Creston Mascota - By-product metal revenues, -   , -   
$,Thousand,Indent,Creston Mascota - Inventory and other adjustments, -   , -   
$,Thousand,Indent,Creston Mascota - Non-cash reclamation provision, -   ,
$,Thousand,Indent,Creston Mascota - Stripping costs, -   ,
$,Thousand,Indent,Creston Mascota - Cash operating costs, -   , -   
$,Actual,Bold,Creston Mascota - Total cash costs (Per ounce of commercial production), -   , -   
$,Thousand,,Creston Mascota - Minesite operating costs (USD$), -   , -   
$,Actual,,Creston Mascota - Minesite costs per tonne (USD$), -   , -   
,,Abstract bold color indent,Capital Expenditures (Creston Mascota),,
$,Thousand,,Total Capital Expenditures, -   ,"8,206"
$,Thousand,,Total Sustaining Capital Expenditures, -   ,"7,841"
,,Abstract bold color indent,Supplementary Data,,
$,Thousand,,Capital Expenditures,"32,645","7,454"
$,Thousand,,Capitalized Exploration,"2,793",752
,,Abstract bold color indent,Expense Breakdown By Major Categories,,
,Actual,,Labour,28%,24%
,Actual,, Contractors,12%,14%
,Actual,,Energy,12%,10%
,Actual,,Chemical,8%,7%
,Actual,,Consumables/Other,40%,45%
,Actual,Bold,Total,100%,100%
$,Thousand,,Depreciable Assets,"326,409",
$,Actual,,Total Cash Costs (US$/oz),"1,229","1,531"
,,,,,
,,,,,
,,,,,
