Currency,Unit,,Description,FY 05,FY 06,FY 07,FY 08,FY 09,FY 10,FY 11,FY 12,FY 13
$,Thousand,Indent,Interest payable,"2,243",,,146,"1,666","9,743","9,356","13,602","13,803"
$,Thousand,Indent,Fair value of derivative financial instruments,"9,699",,,"12,823",662,142,"4,404",277,467
$,Thousand,Indent,Income taxes payable, ,"14,231",,"4,814","4,501","14,450",,"10,061","7,523"
$,Thousand,Indent,Capital lease obligations, ,,,,,"10,592","11,068","12,955","12,035"
$,Thousand,Bold,Total  current liabilities:,"53,544","71,935","134,507","185,882","190,460","303,311","254,444","276,945","210,654"
,,Abstract Bold,Non-current liabilities:, ,,,,,,,,
$,Thousand,Indent,Long term debt,"131,056",,,"200,000","715,000","650,000","920,095","830,000","1,000,000"
$,Thousand,Indent,Reclamation provision and other liabilities,"16,220","27,457","57,941","71,770","96,255","145,536","145,988","127,735","178,236"
$,Thousand,Indent,Deferred income and mining tax liabilities,"120,182","169,691","484,116","403,416","493,881","736,054","498,572","611,227","593,320"
$,Thousand,Indent,Other liabilities, ,,,,,,,,
$,Thousand,Bold,Total non-current  liabilities,"267,458","197,148","542,057","675,186","1,305,136","1,531,590","1,564,655","1,568,962","1,771,556"
$,Thousand,Bold,Total liabilities,"321,002","269,083","676,564","861,068","1,495,596","1,834,901","1,819,099","1,845,907","1,982,210"
,,Abstract Bold,Shareholders' equity:, ,,,,,,,,
$,Thousand,Indent,Common shares,"764,659","1,230,654","1,931,667","2,299,747","2,378,759","3,078,217","3,181,381","3,241,922","3,294,007"
$,Thousand,Indent,Stock options,"2,869","5,884","23,573","41,052","65,771","78,554","117,694","148,032","174,470"
$,Thousand,Indent,Warrants,"15,732","15,723",,"24,858","24,858","24,858","24,858","24,858",
$,Thousand,Indent,Contributed surplus,"15,128","15,128","15,166","15,166","15,166","15,166","15,166","15,665","37,254"
$,Thousand,Indent,Retained earnings (deficit),"-138,697","3,015","112,240","157,541","216,158","440,265","-129,021","7,046","-513,441"
$,Thousand,Indent,Accumulated other comprehensive loss,"-4,624","-17,999","-23,712","-20,608","51,049","28,390","-7,106","-27,311","-15,141"
$,Thousand,Bold,Total Shareholders' equity,"655,067","1,252,405","2,058,934","2,517,756","2,751,761","3,665,450","3,202,972","3,410,212","2,977,149"
$,Thousand,Indent,Non-controlling interest, ,,,,,,"12,191",,
$,Thousand,Bold,Total liabilities and shareholders' equity,"976,069","1,521,488","2,735,498","3,378,824","4,247,357","5,500,351","5,034,262","5,256,119","4,959,359"
