Currency,Unit,,Description,FY 10,FY 11,FY 12,FY 13,FY 14,FY 15,FY 16,FY 17,FY 18,FY 19,FY 20,FY 21,FY 22,FY 23
C$,Thousand,Indent,Meadowbank - Cash operating costs,"183,224","270,861","334,224","333,109","271,092","234,181","223,231","216,523","202,693","182,316","278,606","387,776","452,268","507,805"
C$,Actual,Indent+Bold,  Meadowbank - Total cash costs ( Per ounce of commercial production),693,"1,000",913,774,599,613,715,614,814,"1,152","1,404","1,201","1,210","1,176"
,,Indent,Meadowbank - Minesite operating costs (C$),"190,980","272,157","336,431","343,147","300,635","280,950","290,429","293,728","267,663","246,306","368,185","508,497","585,305","686,945"
$,Thousand,Indent,Meadowbank - Minesite costs per tonne (C$),95.0,91.0,88.0,83.0,73.0,70.0,74.0,76.0,82.0,103.0,148.0,143.0,157.0,179.0
$,Thousand,Abstract bold color Indent,Capital Expenditures, ,,,,,,,,,,,,,
$,Thousand,,Total Capital Expenditures, ,,,,,"65,230","38,751","111,516","202,353","232,067","133,278","157,471","139,828","121,733"
$,Thousand,,Total Sustaining Capital Expenditures, ,,,,,"65,230","38,248","22,720","14,876","18,801","55,814","48,917","86,435","121,653"
,,Abstract bold color Indent,Supplementary Data,,,,,,,,,,,,,,
$,Thousand,,Capital Expenditures,"165,906","113,263","102,912","73,826","65,166","65,230","38,470","111,516","202,353","232,067","157,951","153,648","139,828","121,733"
$,Thousand,,Capitalized Exploration,"7,970","3,597","2,183","2,985",717,,281,,,,"2,471","3,823", -   , -   
,,Abstract bold color Indent,Expense Breakdown By Major Categories,,,,,,,,,,,,,,
,Actual,,Labour,30%,26%,27%,28%,29%,29%,31%,24%,30%,25%,22%,22%,24%,23%
,Actual,, Contractors,18%,11%,9%,12%,10%,10%,11%,6%,18%,18%,21%,20%,20%,19%
,Actual,,Energy,21%,17%,18%,19%,20%,20%,19%,12%,18%,14%,12%,11%,14%,16%
,Actual,,Chemical,4%,3%,4%,3%,5%,4%,4%,11%,3%,3%,3%,3%,3%,3%
,Actual,,Consumables/Other,27%,43%,42%,38%,36%,37%,35%,47%,31%,40%,42%,44%,39%,39%
,Actual,Bold,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
$,Thousand,,Depreciable Assets,"1,453,986",,"701,600","623,078","443,224","381,783","271,711","262,035","205,518","603,979","690,031","671,120","928,700","824,831"
$,Actual,,Total Cash Costs (US$/oz),693,"1,000",913,774,599,613,715,614,814,"1,152","1,404","1,201","1,210","1,176"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
