Currency,Unit,,Description,Q1 05,Q2 05,Q3 05,Q4 05,Q1 06,Q2 06,Q3 06,Q4 06,Q1 07,Q2 07,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,Q4 13,Q1 14,Q2 14,Q3 14,Q4 14,Q1 15,Q2 15,Q3 15,Q4 15,Q1 16,Q2 16,Q3 16,Q4 16,Q1 17,Q2 17,Q3 17,Q4 17,Q1 18,Q2 18,Q3 18,Q4 18,Q1 19,Q2 19,Q3 19,Q4 19,Q1 20,Q2 20,Q3 20,Q4 20,Q1 21,Q2 21,Q3 21,Q4 21,Q1 22,Q2 22,Q3 22,Q4 22,Q1 23,Q2 23,Q3 23,Q4 23,Q1 24,Q2 24,Q3 24
,Actual,,Macassa - Labour, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54%,46%,42%,42%,42%,45%,43%,43%,44%,48%,47%
,Actual,,Macassa - Contractors, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,10%,9%,12%,10%,13%,13%,12%,13%,12%,13%
,Actual,,Macassa - Energy, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,6%,7%,6%,6%,6%,6%,5%,5%,4%,6%
,Actual,,Macassa - Chemical, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,1%,1%,1%,2%,3%,2%,2%,2%,2%,2%
,Actual,,Macassa - Consumables/Other, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32%,37%,41%,39%,40%,33%,36%,38%,36%,34%,32%
,Actual,Bold,Macassa - Total, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,Actual,,Fosterville - Labour, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37%,26%,37%,40%,41%,41%,39%,41%,42%,31%,32%
,Actual,,Fosterville - Contractors, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15%,7%,11%,11%,11%,11%,11%,10%,11%,10%,13%
,Actual,,Fosterville - Energy, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,6%,10%,9%,9%,8%,9%,9%,9%,7%,7%
,Actual,,Fosterville - Chemical, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,1%,1%,2%,2%,2%,2%,2%,3%,4%
,Actual,,Fosterville - Consumables/Other, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41%,61%,41%,39%,37%,38%,39%,38%,36%,49%,44%
,Actual,Bold,Fosterville - Total, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual,,AEM Total - Labour, ,,,,,,,,,,,,,,,,,,,37%,31%,34%,33%,32%,32%,33%,32%,30%,33%,33%,32%,32%,36%,34%,32%,33%,33%,39%,41%,31%,32%,31%,29%,29%,31%,31%,27%,31%,31%,31%,30%,30%,28%,28%,28%,29%,31%,30%,26%,27%,29%,27%,23%,27%,28%,27%,31%,24%,27%,27%,27%,26%,27%,28%,26%,27%,28%,28%,26%
,Actual,,AEM Total - Contractors, ,,,,,,,,,,,,,,,,,,,19%,18%,16%,15%,15%,12%,11%,11%,10%,8%,8%,8%,9%,10%,12%,11%,9%,11%,14%,12%,10%,11%,11%,11%,11%,14%,15%,14%,15%,14%,14%,15%,16%,13%,15%,15%,15%,16%,21%,19%,19%,18%,21%,20%,22%,20%,19%,20%,14%,18%,15%,24%,16%,17%,17%,17%,19%,18%,18%,19%
,Actual,,AEM Total - Energy, ,,,,,,,,,,,,,,,,,,,10%,11%,13%,12%,13%,13%,12%,12%,13%,14%,13%,13%,14%,14%,13%,13%,15%,18%,17%,16%,14%,16%,14%,12%,12%,13%,12%,10%,12%,13%,11%,11%,12%,11%,10%,10%,11%,12%,9%,9%,9%,10%,8%,7%,8%,8%,7%,9%,8%,11%,13%,12%,14%,14%,12%,11%,11%,13%,12%,12%
,Actual,,AEM Total - Chemical, ,,,,,,,,,,,,,,,,,,,11%,7%,8%,7%,7%,7%,6%,7%,6%,7%,6%,7%,7%,7%,6%,7%,6%,7%,8%,8%,7%,7%,7%,8%,8%,7%,7%,7%,8%,7%,7%,8%,8%,7%,7%,7%,8%,7%,6%,6%,6%,6%,6%,6%,5%,6%,5%,7%,5%,5%,5%,6%,5%,6%,6%,6%,6%,5%,6%,6%
,Actual,,AEM Total - Consumables/Other, ,,,,,,,,,,,,,,,,,,,23%,33%,29%,33%,33%,36%,38%,38%,41%,38%,40%,40%,38%,33%,35%,37%,37%,31%,22%,23%,38%,34%,37%,40%,40%,35%,35%,42%,34%,35%,37%,36%,34%,41%,40%,40%,37%,34%,34%,40%,39%,37%,38%,44%,38%,38%,42%,33%,49%,39%,40%,31%,39%,36%,37%,40%,37%,36%,36%,37%
,Actual,Bold,AEM Total - Total, ,,,,,,,,,,,,,,,,,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,Abstract Bold Color,Realized Prices Reconciliation, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Abstract Bold,Gold, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Actual,,Market Avg ($/oz), ,,,,,623,621,618,650,668,681,788,927,896,870,795,909,922,960,"1,102","1,109","1,192","1,227","1,367","1,384","1,504","1,700","1,686","1,691","1,611","1,655","1,719","1,630","1,414","1,328","1,272","1,294","1,289","1,282","1,200","1,219","1,193","1,124","1,104","1,181","1,259","1,335","1,218","1,219","1,257","1,278","1,274","1,329","1,306","1,213","1,228","1,304","1,310","1,474","1,480","1,583","1,711","1,911","1,873","1,794","1,816","1,789","1,795","1,874","1,872","1,728","1,729","1,889","1,978","1,928","1,971","2,071","2,337","2,477"
$,Actual,,Settle Gain (Loss) ($/oz), ,,,,,70,-20,-23,17,-1,65,111,123,-56,35,-4,57,39,-21,40,-7,66,-23,20,12,15,11,-4,-3,-8,31,-30,-3,-55,4,-7,-1,-1,-5,3,-4,2, -   , -   , -   ,1, -   , -   , -   ,1,-1,1, -   ,,2, -   ,1, -   , -   , -   , -   ,-2,2, -   ,2,1, -   ,-1, -   , -   ,2, -   , -   , -   , -   ,4, -   , -   ,-1
$,Actual,,Mark-To-Market ($/oz), ,,,,,-6.00,-1.00,-1.00,2.00,1.00,2.00,-4.00,39.00,-36.00,-2.00,-2.00,3.00,1.00, -   ,11.00,9.00,-36.00,31.00, -   ,4.00,11.00,6.00,-41.00,-4.00,-1.00,9.00,-5.00,-16.00,-23.00,1.00,-21.00,15.00,3.00,-28.00,-1.00,-13.00,1.00,-5.00,-10.00,11.00,8.00,-3.00,-22.00,4.00,2.00,5.00,4.00,3.00,-13.00,-11.00,7.00,-2.00,8.00,6.00,9.00,-4.00,17.00,-2.00,3.00,-16.00,-3.00,-2.00,1.00,6.00,-6.00,-4.43,-1.26,3.23,-2.48,-0.42,6.66,-9.12,4.51,16.10
$,Actual,,Realized Price ($/oz), ,,,,611,687,600,594,669,668,748,895,"1,089",804,903,789,969,962,939,"1,153","1,111","1,222","1,235","1,387","1,400","1,530","1,717","1,641","1,684","1,602","1,695","1,684","1,611","1,336","1,333","1,244","1,308","1,291","1,249","1,202","1,202","1,196","1,119","1,094","1,192","1,268","1,332","1,196","1,223","1,260","1,282","1,279","1,332","1,293","1,204","1,235","1,303","1,318","1,480","1,489","1,579","1,726","1,911","1,876","1,780","1,814","1,787","1,795","1,880","1,866","1,726","1,728","1,892","1,975","1,928","1,982","2,062","2,342","2,492"
,,Abstract Bold,Silver, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Actual,,Market Avg ($/oz), ,,,,,11.29,11.71,13.05,13.28,13.34,12.70,14.22,17.68,17.17,15.03,10.20,12.61,13.73,14.70,17.57,16.92,18.32,18.96,26.43,31.66,38.17,38.79,31.82,32.62,29.42,29.91,32.64,29.55,23.00,21.37,20.76,20.49,19.62,19.74,16.47,16.72,16.41,14.91,14.76,14.83,16.78,19.62,17.18,17.42,17.26,16.83,16.70,16.77,16.53,14.99,14.55,15.57,14.89,17.02,17.30,16.94,16.33,24.39,24.39,26.26,26.69,24.35,23.32,23.94,22.65,19.22,21.20,22.56,24.18,23.57,23.20,23.34,28.86,29.42
$,Actual,,Settle Gain (Loss) ($/oz), ,,,,,2.17,0.63,0.31,0.46,0.10,0.01,0.24,0.06,0.16,0.01,-0.33,-0.14,0.12,0.04,0.12,-0.80,0.62, -   ,-0.47,1.53,1.10,1.60,-1.36,-0.19,-1.09,1.75,0.05, -   ,-2.72,0.17,-0.11,0.07,0.69,0.17,0.55,0.10,-0.30,-0.06,0.08,0.01,0.01,-0.06,-0.11,-0.13,0.08,0.43,0.31,0.31, -   ,-0.10,-0.04,0.21, -   ,0.19,0.14,0.08,0.10,1.05,0.14,0.56,0.28,-0.33,-0.13,0.16,-0.08,-0.40,0.42,0.24,0.22,-0.12,-0.10,-0.26,0.32,-0.20
$,Actual,,Mark-To-Market ($/oz), ,,,,,-0.40,0.05,0.02,0.08,-0.16,0.08,-0.06,2.17,-0.77,-1.17,-0.65,1.06,0.47,0.85,1.48,1.75,0.35,1.57,6.00,2.91,-0.74,-3.02,-3.62,2.03,-2.00,2.25,-1.44,-0.85,-1.67,0.30,-0.45,0.20,-0.86,-2.03,-1.40,0.20,0.30,0.08,-0.28,0.25,0.42,-0.04,-0.31,0.33,-0.31,-0.35,0.29,-0.32,-0.10,-0.69,0.02,-0.13,-0.06,0.25,0.11,-1.28,0.48,-0.09,-0.04,-0.69,0.04,-0.48,-0.11,0.01,-0.36,-0.14,-0.11,0.15,0.03,0.10,0.78,0.72,0.91,1.47
$,Actual,,Realized Price ($/oz), ,,,,11.00,13.06,12.39,13.38,13.82,13.28,12.79,14.40,19.91,16.56,13.87,9.22,13.53,14.32,15.59,19.17,17.87,19.29,20.53,31.96,36.10,38.53,37.37,26.84,34.46,26.33,33.91,31.25,28.70,18.61,21.84,20.20,20.76,19.45,17.88,15.62,17.02,16.41,14.93,14.56,15.09,17.21,19.52,16.76,17.62,17.03,16.91,17.30,16.76,16.43,14.20,14.53,15.65,14.83,17.46,17.55,15.74,16.91,25.35,24.49,26.13,27.01,23.54,23.08,24.11,22.21,18.68,21.51,22.95,24.43,23.55,23.88,24.16,30.09,30.69
,,Abstract Bold,Zinc, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Actual,,Market Avg ($/t), ,,,,,"3,285","3,350","4,275","3,458","3,685","3,226","2,622","2,429","2,113","1,770","1,185","1,180","1,473","1,761","2,213","2,288","2,026","2,013","2,314","2,395","2,254","2,226","1,897","2,024","1,927","1,889","1,951","2,032","1,840","1,859","1,908","2,029","2,073","2,311","2,235","2,081","2,081","1,843","1,611","1,676","1,915","2,253","2,371","2,781","2,598","2,962","3,234","3,422","3,114","2,534","2,401","2,704","2,763","2,345","2,384","2,128","1,959","2,340","2,631","2,748","2,916","2,991","3,365","3,743","3,925","3,269","3,004","3,130","2,540","2,429","2,498","2,449","2,833","2,779"
$,Actual,,Settle Gain (Loss) ($/t), ,,,,,82.00,173.00,251.00,87.00,-221.00,-83.00,-430.00,-210.00,-49.00, -   ,-710.00,-205.00,151.00,105.00,214.00,275.00,-109.00,241.00,111.00,304.00,23.00,66.00,-258.00,62.00,22.00,-180.00,29.00,13.00,-113.00,2.00,4.00,84.00,5.00,3.00,66.00,-99.00,-275.00,29.00,-62.00,-185.00,-46.00,17.00,27.00,126.00, -   ,82.00,-291.00,-55.00,-125.00,71.00,546.00,314.00,23.00,273.00,373.00, -   ,"1,141.00",-72.00,-41.00,-21.00,6.00,-200.00,-19.00,-731.00,-97.00,154.48,454.35,119.70,-20.61,-61.00,278.74,-14.69,-29.74,-68.64
$,Actual,,Mark-To-Market ($/t), ,,,,,418,2,114,-747,486,-305,121,311,-336,-103,188,238,74,66,79,-328,-27,-103,-34,-190,-20,-126,254,39,-48,127,-74,-43,26,13,46,-86,64,51,-85,90,425,37,53,49,-17,-100,-52,-125,44,-264,272,72,155,10,-379,-345,25,-203,-359,89,"-1,181",35,74,16,-79,176,-89,468,119,12,-479,-81,-176,-8,-274,19,-11,19
$,Actual,,Realized Price ($/t), ,,,,"2,640","3,785","3,525","4,640","2,798","3,950","2,838","2,313","2,530","1,728","1,667",663,"1,213","1,698","1,932","2,506","2,235","1,890","2,151","2,391","2,509","2,257","2,166","1,893","2,125","1,901","1,836","1,906","2,002","1,753","1,874","1,958","2,027","2,142","2,365","2,216","2,072","2,231","1,909","1,602","1,540","1,852","2,170","2,346","2,782","2,642","2,780","3,215","3,439","3,144","2,615","2,568","2,673","2,811","2,415","2,398","2,217","1,920","2,303","2,664","2,743","2,843","2,967","3,257","3,480","3,947","3,435","2,979","3,169","2,343","2,360","2,503","2,453","2,792","2,729"
,,Abstract Bold,Copper, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Actual,,Market Avg ($/t), ,,,,,"7,430","7,430","6,930","5,965","7,645","7,710","7,187","7,795","8,442","7,679","3,904","3,428","4,662","5,858","6,648","7,232","7,027","7,242","8,636","9,651","9,152","8,991","7,489","8,307","7,866","7,716","7,908","7,927","7,145","7,079","7,152","7,038","6,787","6,992","6,622","5,814","6,054","5,251","4,886","4,668","4,730","4,773","5,280","5,834","5,663","6,347","6,808","6,959","6,872","6,103","6,168","6,220","6,114","5,798","5,888","5,638","5,341","6,521","7,174","8,479","9,711","9,372","9,698","9,985","9,526","7,742","8,006","8,930","8,478","8,356","8,169","8,444","9,751","9,204"
$,Actual,,Settle Gain (Loss) ($/t), ,,,,,"3,500.00",-468.00,-739.00,-873.00,-1.00, -   , -   , -   , -   ,-2.00,2.00, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,-3.00,-5.00,-24.00,-621.00,377.00,-1.00, -   ,65.00,1.00,10.00,10.00, -   ,5.00,1.00, -   ,1.00, -   ,30.00,4.00,18.00, -   , -   ,-103.00,34.00,"-1,645.00",-35.00,-10.00,-55.00,2.00,-67.00,-51.00,-4.00, -   , -   ,-3.00,-13.00,3.00, -   ,2.00,2.00, -   , -   ,-1.00,2.00,1.61,-7.42,9.43, -   ,63.00,-1.35,-73.01,-389.49,182.14
$,Actual,,Mark-To-Market ($/t), ,,,,,"3,971",-119,-132,998,636,200,"-1,053","2,764",92,-946,"4,280",682,"1,170","1,722",821,56,-446,"1,447","1,675",376,-587,-427,-322,722,-790,953,-240,-357,-659,250,113,-662,106,503,-662,-758,219,-713,-348,-375,-34,46,298,546,-37,"1,710",33,252,-57,-205,25,-82,-74,-229,60,-225,-255,448,124,477,"1,189",-341,422,259,-575,"-2,069",207,"1,174",-580,-196,-170,360,-170,-403
$,Actual,,Realized Price ($/t), ,,,,"5,812","14,901","6,843","6,059","6,090","8,280","7,910","6,134","10,559","8,534","6,731","8,186","4,110","5,832","7,580","7,469","7,288","6,581","8,689","10,311","10,027","8,565","8,561","7,162","9,005","6,455","9,046","7,667","7,570","6,551","7,330","7,275","6,386","6,893","7,500","5,961","5,056","6,274","4,538","4,568","4,297","4,714","4,819","5,578","6,277","5,660","6,412","6,806","7,201","6,760","5,900","6,126","6,087","6,036","5,569","5,948","5,410","5,074","6,972","7,298","8,958","10,902","9,031","10,120","10,243","8,953","5,675","8,206","10,113","7,898","8,223","7,998","8,731","9,192","8,983"
