Currency,Unit,,Description,SASB Code,GRI Code,FY 22,FY 23
,Actual,,Critically endangered,, ,0,0
,Actual,,Endangered,, ,0,0
,Actual,,Vulnerable,, ,4,4
,Actual,,Near threatened,, ,4,4
,Actual,,Least concerned,, ,94,94
,Actual,,Other,, ,0,0
,,,,, ,,
,,Abstract Bold,Cyanide Management, EM-MM-150a.9, ,,
,Actual,Bold,Cyanide use (tonnes),, ,0,0
,Actual,,Total significant cyanide incidents that require reporting under applicable regulations1,, ,0,0
,Actual,,Cyanide releases off the mine site requiring response or remediation,, ,0,0
,Actual,,Cyanide releases on or off the mine site resulting in significant adverse effects to health ,, ,0,0
,Actual,,Cyanide releases on or off the mine site resulting in significant adverse effects to the environment,, ,0,0
,Actual,,Cyanide releases on or off the mine site requiring reporting under applicable regulations,, ,0,0
,Actual,,Releases cause applicable limits for cyanide to be exceeded,, ,0,0
,,,,, ,,
,,Abstract Bold,Environmental Fines & Sanctions,"EM-MM-140a.2, EM-MM-150a.9",2-27,,
,Actual,,Was the mine charged for non-compliance with environmental laws or regulations?,,,No,No
,Actual,,Amount of fines for non-compliance with environmental laws and regulations,,, -   ,N/A
,Actual,,Currency of fines for non-compliance with environmental laws and regulations,,,N/A,N/A
,Actual,,Were there actions against mine for non-compliance with envir. laws or regul.,,,No,Yes
,Actual,,Number of significant environmental incidents,,, -   , -   
,Actual,,  Number of significant spills ,,, -   , -   
,,,,, ,,
,,Abstract Bold,Energy,, ,,
,,Abstract Bold,Energy Consumption within the Organization,EM-MM-130a.1 ,302-1,,
,Actual,Bold,Fuel consumption,, ,"489,033","343,653"
,Actual,,Diesel (GJ) ,, ,"485,512","333,285"
,Actual,,Biodiesel (GJ),, ,0,0
,Actual,,Light fuel & gasoline (GJ) ,, ,"2,725","10,362"
,Actual,,LPG (GJ) ,, ,0,0
,Actual,,Propane (GJ) ,, ,0,0
,Actual,,Lubricating oils & greases (GJ),, ,209,0
,Actual,,Natural gas (GJ) ,, ,0,0
,Actual,,Explosives (GJ),, ,587,6
,Actual,Bold,Total electricity consumption (kWh),, ,"29,652,347","22,649,289"
,Actual,Bold,Total electricity consumption (GJ),, ,"106,748","81,537"
,Actual,,Renewable electricity purchased from grid (kWh),, ,0,0
,Actual,,Non-renewable electricity low carbon electricity purchased from grid (kWh),, ,0,0
,Actual,,Non-renewable electricity other purchased from grid (kWh),, ,0,0
,Actual,,Non-renewable electricity generated on-site (kWh),, ,"29,652,347","22,649,289"
,Actual,Bold,% Low carbon electricity purchased,, ,0%,0%
,Actual,,% Renewable electricy consumption,, ,0%,0%
,Actual,,% Non-renewable low carbon electricity purchased,, ,0%,0%
,Actual,Bold,Total energy consumption (GJ),, ,"489,033","343,653"
,,,,, ,,
,,Abstract Bold,Energy Intensity,,302-3,,
,Actual,,Electricity intensity (per tonne of ore processed) (KWh/t),,,N/A,N/A
,Actual,,Energy intensity (per tonne of ore processed) (GJ/t),,,N/A,N/A
,,,,, ,,
,,Abstract Bold,Emissions,, ,,
,,Abstract Bold,Greenhouse Gas (GHG) Emissions,EM-MM-110a.1,"305-1. 305-2, 305-4, 305-5, 305-6",,
,Actual,,Direct GHG produced (scope 1 (tonnes CO2e)),, ,"34,481","24,041"
,Actual,,Indirect GHG produced (scope 2 (tonnes CO2e)),, ,0,0
,Actual,,Proportion of GHG emissions by operation,, ,3%,2%
,Actual,,Total GHG Produced (Scope 1 and 2(tonnes CO2e)),, ,"34,481","24,041"
,Actual,,GHG Intensity (Total tonnes CO2e/ Oz of Ore Processed),,N/A,0.0000,N/A
,Actual,,GHG Intensity (Total tonnes CO2e/ Oz of Gold Produced),,N/A,0.00,N/A
,,,,, ,,
,,Abstract Bold,Other Significant Air Emissions Dust Noise and Vibration,EM-MM-120a.1,305-7,,
,Actual,,Sulfur oxides (Sox) (tonnes),, ,59,41
,Actual,,Noxides (Nox) (tonnes),, ,907,628
,Actual,,Is environmental dust monitoring performed on site?,,,Yes,Yes
,Actual,,Is noise monitored at site?,,,Yes,Yes
,Actual,,Are blast vibrations monitored at site?,,,Yes,Yes
,,,,, ,,
,,Abstract Bold,Water Management,, ,,
,,Abstract Bold,Water Withdrawal (m³),EM-MM-140a.1,"303-3, 303-5",,
,Actual,,Surface water ,, ,"739,863","188,648"
,Actual,,"Open water bodies (High) for use
",, ,"16,079","28,128"
,Actual,,"Open water bodies (Low) for use
",, ,0,0
,Actual,,"Surface contact water from precipitation and runoff (High) managed
",, ,"487,178","160,521"
,Actual,,"Surface contact water from precipitation and runoff (Low) managed
",, ,0,0
,Actual,,"Water collected from rain and/or snow melt (High) for use
",, ,0,0
,Actual,,"Water collected from rain and/or snow melt (Low) for use
",, ,"236,606",0
,Actual,,"Open water bodies (High) dewatered
",, ,0,0
,Actual,,"Open water bodies (Low) dewatered
",, ,0,0
,Actual,,Groundwater,, ,"448,523","571,943"
,Actual,,"Wells (High) for use
",, ,0,0
,Actual,,"Wells (Low) for use
",, ,0,0
,Actual,, Mine dewatering (High) managed,, ,0,0
,Actual,, Mine dewatering (Low) managed,, ,"448,523","571,943"
,Actual,, Mine dewatering (High) for use,, ,0,0
,Actual,, Mine dewatering (Low) for use,, ,0,0
,Actual,,Third-party water ,, ,0,0
,Actual,,Municipal water system (High ) for use,, ,0,0
,Actual,,Third-party water (Low) for use,, ,0,0
,Actual,Bold,Total operational water withdrawal (m3),, ,"252,685","28,128"
,Actual,Bold,Total freshwater withdrawal for use (m3),, ,"16,079","28,128"
,Actual,Bold,Total low value water withdrawal for use (m3),, ,"236,606", -   
,Actual,,Freshwater withdrawn for use from areas with high or extremely high baseline water stress (%),, ,0%,
,Actual,,Total water withdrawn from areas with high or extremely high baseline water stress (%),, ,0%,0%
,Actual,,Water consumption from areas with high or extremely high baseline water stress (%),, ,0%,
,,,,, ,,
,,Abstract Bold,Water Withdrawal Intensity ,EM-MM-140a.1,303-3,,
,Actual,,Freshwater withdrawn for use intensity (m3 of water per tonned of ore processed),,N/A,0,N/A
,Actual,,Freshwater withdrawn for use intensity (m3 of water per gold oz),,N/A,0,N/A
,,,,, ,,
,,Abstract Bold,Water Used and Recycled (m³),EM-MM-140a.1 ,303-5,,
,Actual,Bold,Total water comsumption,, ,"862,776"," (779,796)"
,Actual,,Total water used ,, ,,"28,128"
,Actual,,Water recycled ,, ,,0
,Actual,,Percent water recycled,, ,,0%
,,,,, ,,
,,Abstract Bold,Water Discharge (m³),EM-MM-140a.2,"303-4, 306-1,306-5",,
,Actual,Bold,Water discharged,, ,"325,610","1,540,387"
,Actual,Bold,Water discharged to fresh water bodies ,, ,"9,254","7,678"
,Actual,,Untreated water discharged to fresh water bodies ,, ,0,0
,Actual,,Primary treated  water discharged to fresh water bodies ,, ,0,0
,Actual,,Secondary treated water discharged to fresh water bodies ,, ,0,0
,Actual,,Tertiary treated water discharged to fresh water bodies ,, ,"9,254","7,678"
,Actual,Bold,Discharged to sea/ocean,, ,"316,356","1,532,709"
,Actual,,Untreated water discharged to sea/ocean,, ,0,0
,Actual,,Primary treated water discharged to sea/ocean,, ,"233,144","1,164,724"
,Actual,,Secondary treated water discharged to sea/ocean,, ,"83,212","367,985"
,Actual,,Tertiary treated water discharged to sea/ocean,, ,0,0
,Actual,Bold,Discharged underground,, ,0,0
,Actual,,Untreated water discharged underground,, ,0,0
,Actual,,Primary treated water discharged underground,, ,0,0
,Actual,,Secondary treated water discharged underground,, ,0,0
,Actual,,Tertiary treated water discharged underground,, ,0,0
,Actual,Bold,Discharge to third party for reclamation,, ,0,0
,Actual,,Untreated water discharged to third party for reclamation,, ,0,0
,Actual,,Primary treated  water discharged to third party for reclamation,, ,0,0
,Actual,,Secondary treated water discharged to third party for reclamation,, ,0,0
,Actual,,Tertiary treated water discharged to third party for reclamation,, ,0,0
,,,,, ,,
,,Abstract Bold,Water Treatment and Monitoring,EM-MM-140a.1,"303-3, 303-5",,
,,Abstract Bold,Water Discharge,, ,,
,Actual,,Is the temperature of discharge water monitored?,, ,Yes,Yes
,Actual,,Number of incidents of non-compliance with discharge limits,, ,0,0
,,,,, ,,
,,Abstract Bold,Water Bodies Affected by Water Discharges and/or Runoff,,306-5,,
,Actual,,Where is final effluent discharged,,,Robert's Bay,Robert's Bay
,Actual,,Size of water body used for effluent discharge (m3),,,N/A,N/A
,Actual,,Average flow of river used for effluent discharge (m3 per second),,,N/A,N/A
,Actual,,Number of protected species in the water body used for discharge,, , -   ,N/A
,Actual,,"Is receiving water body designated as protected area		",,,No,No
,Actual,,Is the amount of effluent discharged average 5 % or more of annual average volume?,,,No,No
,Actual,,Have discharges been designated by professionals as having or highly likely to have significant impacts on the water body and associated habitats?,,,No,No
,Actual,,Is the water body recognized by professionals to be particularly sensitive due to its relative size function or status as a rare threatened or endagered system?,,,No,No
,Actual,,Is the water body a ramsar-listed wetland or conservation area?,,,No,No
,Actual,,Is the water body identified as having a high biodiversity value?,,,No,No
,Actual,,Does the water body and related habitat have a high value or importance to local communities?,,,No,No
,Actual,,Water bodies and related habitats significantly affected by discharge,,,No,
,,,,, ,,
,,Abstract Bold,Tailings and Waste,, ,,
,,Abstract Bold,"Materials, Tailings & Waste",EM-MM-000.A,301-1,,
,,Abstract Bold,Production,, ,,
,Actual,,Total ore processed (tonnes),, ,0,0
,Actual,,Total gold (Oz),, ,0,0
,Thousands,,Total silver (thousands of Oz),, ,0,0
,Actual,,Mill zinc (t),, ,0,0
,Actual,,Mill copper (t),, ,0,0
,,,,, ,,
,,Abstract Bold,Total Waste Generated (Mineral and Non-Mineral Waste),EM- MM-150a.7,306-2,,
,Actual,,Total non-hazardous waste generated (tonnes),, ,"193,520","56,237"
,Actual,,Total hazardous waste generated (tonnes),, ,"1,937",90
,Actual,Bold,Total waste generated (tonnes),, ,"195,457","56,327"
,Actual,,Total waste recycled (tonnes),, ,"65,781","18,122"
,Actual,,Percentage (%) waste recycled (tonnes),, ,34%,32%
,,,,, ,,
,,Abstract Bold,Mined Material ," EM-MM-150a.5, EM-MM-150.6,  EM-MM-150a.8",306-2,,
,Actual,Bold,Total waste rock mined (tonnes),, ,"191,115","56,237"
,Actual,,Total potentially hazardous waste rock mined (tonnes),, ,0,0
,Actual,,Potentially hazardous waste rock returned underground as backfill or in pits (tonnes),, ,0,0
,Actual,,Potentially hazardous waste rock used in tailings dam construction (tonnes),, ,0,0
,Actual,,Potentially hazardous  waste rock used in other construction (tonnes),, ,0,0
,Actual,,Potentially hazardous  waste rock remaining on surface or removed from waste rock piles (tonnes),, ,0,0
,Actual,,Total non-hazardous waste rock mined (tonnes),, ,"191,115","56,237"
,Actual,,Non-hazardous waste rock returned underground as backfill or in pits (tonnes),, ,"15,423",0
,Actual,,Non-hazardous waste rock used in tailings dam construction (tonnes),, ,0,0
,Actual,,Non-hazardous waste rock used in other construction (tonnes),, ,"48,606","17,600"
,Actual,,Non-hazardous waste rock placed on surface or removed from waste rock piles  (tonnes),, ,"127,086","38,637"
,Actual,,Percentage (%) waste rock recycled,, ,34%,31%
,Actual,Bold,Total mill tailings produced (tonnes),, ,0,0
,Actual,,Total potentially hazardous mill tailings produced (tonnes),, ,0,0
,Actual,,Potentially hazardous mill tailings returned underground as backfill (tonnes),, ,0,0
,Actual,,Potentially hazardous mill tailings placed in surface tailings containment (tonnes),, ,0,0
,Actual,,Total non-hazardous mill tailings produced (tonnes),, ,0,0
,Actual,,Non-hazardous mill tailings returned underground as backfill (tonnes),, ,0,0
,Actual,,Non-hazardous mill tailings placed in surface tailings containment (tonnes),, ,0,0
,Actual,,Percentage (%) mill tailings recycled,, ,0%,0%
,Actual,Bold,Total mined material,, ,"191,115","56,237"
,Actual,Bold,Total hazardous mined material,, ,0,0
,Actual,Bold,Total non-hazardous mine material,, ,"191,115","56,237"
,,,,, ,,
,,Abstract Bold,Domestic Waste & Non-Mineral Hazardous Waste, EM-MM-150a.4,306-2,,
,Actual,Bold,Total non-hazardous domestic waste generated (tonnes),, ,"2,405",877
,Actual,,Domestic waste (garbage) sent to an on-site landfill (tonnes),, ,0,0
,Actual,,Domestic waste (garbage) sent to an on-site incinerator (tonnes),, ,104,82
,Actual,,Domestic waste (garbage) sent to an off-site landfill (tonnes),, ,549,273
,Actual,,Domestic waste (garbage) sent to an off-site incinerator (tonnes),, ,0,0
,Actual,,Paper and cardboard sent to recycling (tonnes),, ,0,0
,Actual,,Plastics sent to recycling (tonnes),, ,60,17
,Actual,,Metals sent to recycling (tonnes),, ,"1,223",474
,Actual,,Wood sent to recycling (tonnes),, ,0,0
,Actual,,Tires sent to recycling (tonnes),, ,469,30
,Actual,,Other sent to recycling (tonnes),, ,0,0
,Actual,Bold,Total domestic waste recycled (tonnes),, ,"1,752",522
,Actual,Bold,Non-Hazardous \Domestic Waste Recycled (%),, ,73%,60%
,Actual,Bold,Total hazardous non-mineral waste generated (tonnes),, ,"1,937",90
,Actual,, Used oil sent off site for treatment or used on-site as fuel (tonnes),, ,16,11
,Actual,, Contaminated soil produced during the year (tonnes),, ,21,3
,Actual,,Hazardous waste shipped to and off-site disposal facility (tonnes),, ,"1,900",75
,Actual,Bold,Total non-mineral waste generated (tonnes),, ,"4,342",966
,,,,, ,,
,,Abstract Bold,Transport of Hazardous Waste,,306-4,,
,Actual,,Total weight of hazardous waste transported (tonnes),, ,"1,377",81
,Actual,,  Hazardous waste transported imported to the mine (tonnes),, ,0,0
,Actual,, Hazardous waste transport exported from the mine (tonnes),, ,"1,377",81
,Actual,,Hazardous waste shipped internationally (%),, ,0%,0%
,,,,, ,,
,,Abstract Bold,Acid Rock Drainage, EM-MM-160a.2, ,,
,Actual,,Predicted to occur,,,Yes,Yes
,Actual,,Actively mitigated,,,Yes,Yes
,Actual,,Under treatment or remediation,,,Yes,Yes
,,,,, ,,
,,Abstract Bold Color,Social,, ,,
,,Abstract Bold,Health & Safety,, ,,
,,Abstract Bold,Combined Health and Safety Performance,EM-MM-320a.1,403-09,,
,Actual,,Person-hours worked,, ,"446,640","217,590"
,Actual,,Number of fatalities,, ,0,0
,Actual,,Lost time accidents,, ,0,0
,Actual,,Light duty incidents,, ,1,0
,Actual,,Medical aid incident,, ,0,1
,Actual,,Lost-time injury frequency per 200k person-hours worked,, ,0.00,0.00
,Actual,,Lost-time injury frequency per 1M person-hours worked,, ,0.00,0.00
,Actual,,Total incidents frequency per 200k person-hours worked frequency,, ,0.45,0.92
,Actual,,Total incidents frequency per 1M person-hours worked frequency,, ,2.24,4.60
,,,,, ,,
,,Abstract Bold,Employee Health and Safety Performance,EM-MM-320a.1,403-09,,
,Actual,,Person-hours worked,, ,"170,798","36,604"
,Actual,,Number of fatalities,, ,0,0
,Actual,,Lost time accidents,, ,0,0
,Actual,,Light duty incidents,, ,0,0
,Actual,,Medical aid incident,, ,0,0
,Actual,,Lost-time injury frequency per 200k person-hours worked,, ,0.00,0.00
,Actual,,Lost-time injury frequency per 1M person-hours worked,, ,0.00,0.00
,Actual,,Total incidents frequency per 200k person-hours worked frequency,, ,0.00,0.00
,Actual,,Total incidents frequency per 1M person-hours worked frequency,, ,0.00,0.00
,,,,, ,,
,,Abstract Bold,Contractor Health and Safety Performance, EM-MM-320a.1,403-09,,
,Actual,,Person-hours worked,, ,"275,842","180,986"
,Actual,,Number of fatalities,, ,0,0
,Actual,,Lost time accidents,, ,0,0
,Actual,,Light duty incidents,, ,1,0
,Actual,,Medical aid incident,, ,0,1
,Actual,,Lost-time injury frequency per 200k person-hours worked,, ,0.00,0.00
,Actual,,Lost-time injury frequency per 1M person-hours worked,, ,0.00,0.00
,Actual,,Total incidents frequency per 200k person-hours worked frequency,, ,0.73,1.11
,Actual,,Total incidents frequency per 1M person-hours worked frequency,, ,3.63,5.53
,,,,, ,,
,,Abstract Bold,Workforce,, ,,
,,Abstract Bold,"Global Workforce by Employment Type, Contract, Gender and Region",EM-MM-000.B,2-7,,
,Actual,Bold,Total contractors,, ,171,35
,Actual,Bold,Total Agnico employees,, ,87,55
,Actual,,Total employees male,, ,76,51
,Actual,,Total employees female,, ,11,4
,Actual,,Total agnico permanent,, ,84,55
,Actual,,Permanent male,, ,74,51
,Actual,,Permanent female,, ,10,4
,Actual,,Total agnico temporary,, ,3,0
,Actual,,Temporary male,, ,2,0
,Actual,,Temporary female,, ,1,0
,Actual,,Total agnico on-call,, ,0,0
,Actual,,On-call male,, ,0,0
,Actual,,On-call female,, ,0,0
,Actual,,Total student,, ,0,0
,Actual,,Student male,, ,0,0
,Actual,,Student female,, ,0,0
,Actual,Bold,Percentage contractors,, ,66%,39%
,Actual,Bold,Total workforce,, ,258,90
,,,,, ,,
,,Abstract Bold,"New Employee Hires by Age Group, Gender, and Region",,401-01,,
,Actual,,Total female new hires,, ,5,3
,Actual,,Female under 30 years,, ,1,2
,Actual,,Female 30-50 years,, ,4,1
,Actual,,Female over 50 years,, ,0,0
,Actual,,Total male new hires,, ,21,2
,Actual,,Male under 30 years,, ,5,1
,Actual,,Male 30-50 years,, ,12,1
,Actual,,Male over 50 years,, ,4,0
,Actual,Bold,% Female new hires,, ,19%,60%
,Actual,Bold,Total new hires,, ,26,5
,,,,, ,,
,,Abstract Bold,"New Employee Hire Rate by Gender, and Region",,401-01,,
,Actual,,Total female new hire rate,, ,31.3%,50.0%
,Actual,,Total male new hire rate,, ,21.9%,3.3%
,Actual,,Total new hire rate,, ,23.2%,7.6%
,,,,, ,,
,,Abstract Bold,"Permanent Employee Turnover by Age Group, Gender, and Region",,401-01,,
,Actual,,Total female turnover,, ,6,2
,Actual,,Female under 30 years,, ,0,2
,Actual,,Female 30-50 years,, ,6,0
,Actual,,Female over 50 years,, ,0,0
,Actual,,Total male turnover,, ,35,8
,Actual,,Male under 30 years,, ,5,2
,Actual,,Male 30-50 years,, ,16,4
,Actual,,Male over 50 years,, ,14,2
,Actual,,Total turnover,, ,41,10
,,,,, ,,
,,Abstract Bold,"Permanent Employee Turnover rate by Gender, and Region",,401-1,,
,Actual,,Total female turnover rate,, ,42.9%,40.0%
,Actual,,Total male turnover rate,, ,38.0%,13.3%
,Actual,Bold,Total turnover rate,, ,38.7%,15.4%
,,,,, ,,
,,Abstract Bold,Diversity of Employee in Management Positions by Gender,, ,,
,Actual,,Female front-line management and supervisors,, ,4,
,Actual,,Male front-line management and supervisors,, ,12,
,Actual,Bold,%Female front-line management and supervisors,, ,25%,
,Actual,,Female senior management,, ,2,
,Actual,,Male senior management,, ,2,
,Actual,Bold,%Female senior management,, ,50%,
,Actual,,Female in all management positions,, ,6,
,Actual,,Male in all management positions,, ,14,
,Actual,Bold,%Female in all management positions,, ,43%,
,,,,, ,,
,,Abstract Bold,Average Hours of Training per Year per Employee,,404-1,,
,Actual,,Total hours of training for employees,, ,"1,789","3,281"
,Actual,,Average hours of training per employee,, ,16,50
,,,,, ,,
,,Abstract Bold,Diversity of Employees per Employee Category by Gender,,405-1,,
,Actual,,Percentage of hourly employees female,, ,0%,0%
,Actual,,Percentage of hourly employees male,, ,100%,100%
,Actual,,Percentage of salaried employees female,, ,20%,13%
,Actual,,Percentage of salaried employees male,, ,80%,87%
,Actual,,Percentage of female employees,, ,13%,7%
,Actual,,Percentage of male employees,, ,87%,93%
,,,,, ,,
,,Abstract Bold,Diversity of Employees per Employee Category by Age,,405-1,,
,Actual,,Percentage of hourly employees under 30 years,, ,3%,0%
,Actual,,Percentage of hourly employees 30-50 years,, ,55%,52%
,Actual,,Percentage of hourly employees over 50 years,, ,42%,48%
,Actual,,Percentage of salaried employees under 30 years,, ,24%,17%
,Actual,,Percentage of salaried employees 30-50 years,, ,63%,67%
,Actual,,Percentage of salaried employees over 50 years,, ,24%,31%
,Actual,,Percentage of employees under 30 years,, ,0%,9%
,Actual,,Percentage of employees 30-50 years,, ,60%,60%
,Actual,,Percentage of employees over 50 years,, ,24%,31%
,,,,, ,,
,,Abstract Bold,Local and Indigenous Employment,, ,,
,Actual,,Total indigenous employees,, ,13,7
,Actual,,Percentage indigenous employees,, ,15%,13%
,Actual,,Total local employees,, ,10,5
,Actual,,Percentage local employees,, ,11%,9%
,,,,, ,,
,,Abstract Bold,Benefits Provided to Full-Time Employees,,401-2,,
,Actual,,Life insurance,,,Yes,Yes
,Actual,,Health care,,,Yes,Yes
,Actual,,Disability/invalidity coverage ,,,Yes,Yes
,Actual,,Parental leave,,,Yes,Yes
,Actual,,Retirement provision,,,Yes,Yes
,Actual,,Stock ownership,,,Yes,Yes
,,,,, ,,
,,Abstract Bold,Operational Changes ,,"402-1, MM04",,
,Actual,,Minimum notice period (in weeks) regarding operational changes,, ,4,4
,Actual,,Number of strikes and lockouts exceeding one week duration ,, ,0,0
,,,,, ,,
,,Abstract Bold,Percentage of Employees Receiving Regular Performance and Career Development Reviews,,404-3,,
,Actual,,Salaried employees who receive performance and career reviews (%),, ,100%,100%
,Actual,,Hourly employees who receive performance and career reviews (%),, ,28%,100%
,,,,, ,,
,,Abstract Bold,Incidents of Discrimination and Corrective Actions Taken,,406-1,,
,Actual,,Number of grievances about discrimination filed through a formal mechanism,, ,0,0
,Actual,,Number of grievances about discrimination investigated by the organization,, ,0,0
,Actual,,Number of remediation plans implemented as a result of an investigation,, ,0,0
,Actual,,"Number of grievances resolved, completed or withdrawn at the end of the year",, ,0,0
,,,,, ,,
,,Abstract Bold,Communities & Indigenous Peoples,, ,,
,,Abstract Bold,Operations Taking Place in or Near Indigenous Territory,EM-MM-210a.2,MM5,,
,Actual,,Is the operation adjacent or on indigenous peoples territory,,,Yes,Yes
,Actual,,Do formal agreements exist with indigenous peoples,,,Yes,Yes
,,,,, ,,
,,Abstract Bold,Local Community Engagement Impact Assessment and Development Programs,,413-1,,
,Actual,,Has the mine been subject to a social impact assessment,,,Yes,Yes
,Actual,,Are the results of environmental and social impact assessments publicly disclosed,,,Yes,Yes
,Actual,,Are local community investment plans based on local community needs,,,Yes,Yes
,Actual,,Are stakeholder engagement plans based on stakeholder mapping,,,Yes,Yes
,Actual,,Was there active community engagement during the reporting year?,, ,Yes,
,Actual,,Are there local community consultation committees,,,Yes,Yes
,Actual,,Are there processes to include vulnerable groups in community consultation committees or other forms of community engagement,,,Yes,Yes
,Actual,,Is there a formal local community grievance process,,,Yes,Yes
,,,,, ,,
,,Abstract Bold,Actual or Potential Negative Impacts on Local Communities Near the Mine,,413-2,,
,Actual,,Are there actual or potential negative social impacts on local communities? ,,,Potential impacts,Potential impacts
,Actual,,Are there actual or potential negative economic impacts on local communities? ,,,Potential impacts,Potential impacts
,Actual,,Are there actual or potential negative impacts on the local communities' environmental well-being? ,,,Potential impacts,Potential impacts
,,,,, ,,
,,Abstract Bold,Community Response Mechanisms,,MM7,,
,Actual,Bold,Total number of community grievances or complaints by category,, ,0,0
,Actual,,Environmental,, ,0,0
,Actual,,Health & safety,, ,0,0
,Actual,,Social and communities,, ,0,0
,Actual,,Economic opportunities (e.g. employment & procurement),, ,0,0
,Actual,,Indigenous rights,, ,0,0
,Actual,,Land and resource use,, ,0,0
,Actual,,Mining practices and activities,, ,0,0
,Actual,,Number of grievances or complaints investigated,, ,0,0
,Actual,,Number of remediation plans implemented as a result of an investigation,, ,0,0
,Actual,,Number of grievances or complaints resolved completed or withdrawn at the end of the year,, ,0,0
,Actual,,Number of grievances not addressed within 30 days,, ,,0
,Actual,,Number of complainants during the year,, ,,0
,,,,, ,,
,,Abstract Bold,Significant Disputes or Incidents Relating to Land Use Customary Rights or Local Communities and Indigenous Peoples,, ,,
,Actual,,Total number of significant disputes,, ,0,0
,Actual,,Number of incidents investigated,, ,0,0
,Actual,,Number of remediation plans implemented as a result of an investigation,, ,0,0
,Actual,,Number of remediation plan results reviewed by internal management,, ,0,0
,Actual,,Number of disputes or incidents resolved completed or withdrawn at the end of the year,, ,0,0
,Actual,,Descriptions of any disputes or incidents,,,N/A,N/A
,,,,, ,,
,,Abstract Bold,Non-compliance with Laws and Regulations in the Social and Economic Area,, ,,
,Actual,,Where there any significant fines or non-monetary sanctions for non-compliance with social or economic laws and/or regulations?,,,No,No
,Actual,,Total monetary value of fines,,,N/A,N/A
,Actual,,Total number of non-monetary sanctions,,,N/A,N/A
,,,,, ,,
,,Abstract Bold,Closure and Remediation,, ,,
,Actual,,Does the site have a completed closure & remediation plan,,,Yes,Yes
,Actual,,If yes does the plan include social and economic considerations? ,,,Yes,Yes
,,,,, ,,
,,Abstract Bold,Political contributions,, ,,
,Actual,,Were any financial or in-kind contributions given to political or related parties?,,,No,No
,,,,, ,,
,,Abstract Bold,Human Rights,, ,,
,Actual,,Has the mine been subject to human rights reviews or human rights impact assessment1?,,,Yes,Yes
,,,,, ,,
,,Abstract Bold,Community Engagements (TSM),, ,,
,,Abstract Bold,Community of Interest Engagement,, ,,
,Actual,,Does the operation publicy report on COI engagements including type of engagements and topic/themes of the engagement? ,,,Yes,No
,Actual,,Link to public disclosure,, ,,N/A
,,,,, ,,
,,Abstract Bold,Community of Interest Feedback on Engagement and Outcomes,, ,,
,Actual,,Does the operation publicy report on COI feedback on engagements and outcomes?,,,No,No
,Actual,,Link to public disclosure,, ,,N/A
,,,,, ,,
,,Abstract Bold,Effectiveness of Community Engagement System,, ,,
,Actual,,Does the operation publicy report on the effectiveness of the engagement system?,,,No,No
,Actual,,Link to public disclosure,, ,,N/A
,,,,, ,,
,,Abstract Bold,Economic Performance,,202-1,,
,,Abstract Bold,Ratios of Standard Entry Level Wage by Gender Compared to Local Minimum Wage ,, ,,
,Actual,,Local minimum wage in local currency,, ,16.00,0.00
,Actual,,Ratio of female entry level wage to local minimum wage,, ,1.75:1,0.00
,Actual,,Ratio of male entry level wage to local minimum wage,, ,1.75:1,0.00
,,,,, ,,
,,Abstract Bold,Proportion of Operation Spending on Local Suppliers (000 USD),,204-1,,
