Currency,Unit,,Description,SASB Code,GRI Code,FY 22,FY 23
,Actual,,Releases cause applicable limits for cyanide to be exceeded,, ,0,0
,,,,, ,,
,,Abstract Bold,Environmental Fines & Sanctions,"EM-MM-140a.2, EM-MM-150a.9",2-27,,
,Actual,,Was the mine charged for non-compliance with environmental laws or regulations?,,,No,
,Actual,Indent,Amount of fines for non-compliance with environmental laws and regulations,,,0,0
,Actual,Indent,Currency of fines for non-compliance with environmental laws and regulations,,,N/A,0
,Actual,,Were there actions against mine for non-compliance with envir. laws or regul.,,,Yes,
,Actual,, of significant environmental incidents,,,0,0
,Actual,Indent,   of significant spills ,,,0,0
,,,,, ,,
,,Abstract Bold,,, ,,
,,Abstract Bold, Consumption within the Organization,EM-MM-130a.1 ,302-1,,
,Actual,,Fuel consumption,, ,"12,816,566","15,976,439"
,Actual,,Diesel (GJ) ,, ,"11,591,237","14,363,570"
,Actual,,Biodiesel (GJ),, ,"39,528",0
,Actual,,Light fuel & gasoline (GJ) ,, ,"114,726","218,866"
,Actual,,LPG (GJ) ,, ,"15,858","9,783"
,Actual,,Propane (GJ) ,, ,"247,255","238,243"
,Actual,,Lubricating oils & greases (GJ),, ,"4,614","7,311"
,Actual,,Natural gas (GJ) ,, ,"671,215","873,564"
,Actual,,Explosives (GJ),, ,"132,133","265,102"
,Actual,Bold,Total electricity consumption (kWh),, ,"2,492,791,096","3,224,395,129"
,Actual,Bold,Total electricity consumption (GJ),, ,"8,974,048","11,607,822"
,Actual,,Renewable electricity purchased from grid (kWh),, ,"1,096,951,789","1,791,883,399"
,Actual,,Non-renewable electricity low carbon electricity purchased from grid (kWh),, ,"126,508,346","616,435,461"
,Actual,,Non-renewable electricity other purchased from grid (kWh),, ,"935,219,784","475,647,571"
,Actual,,Non-renewable electricity generated on-site (kWh),, ,"334,111,177","340,428,698"
,Actual,Bold,% Low carbon electricity purchased,, ,49%,75%
,Actual,,% Renewable electricy consumption,, ,44%,56%
,Actual,,% Non-renewable low carbon electricity purchased,, ,5%,19%
,Actual,Bold,Total  consumption (GJ),, ,"20,587,814","26,358,718"
,,,,, ,,
,,Abstract Bold, Intensity,,302-3,,
,Actual,,Electricity intensity (per tonne of ore processed) (KWh/t),, ,54.0,50.3
,Actual,, intensity (per tonne of ore processed) (GJ/t),, ,0.45,0.41
,,,,, ,,
,,Abstract Bold,Emissions,, ,,
,,Abstract Bold,Greenhouse Gas (GHG) Emissions,EM-MM-110a.1,"305-1. 305-2, 305-4, 305-5, 305-6",,
,Actual,,Direct GHG produced (scope 1 (tonnes CO2e)),, ,"907,744","1,150,541"
,Actual,,Indirect GHG produced (scope 2 (tonnes CO2e)),, ,"266,968","186,416"
,Actual,,Proportion of GHG emissions by operation,, ,100%,100%
,Actual,,Total GHG Produced (Scope 1 and 2(tonnes CO2e)),, ,"1,174,712","1,336,957"
,Actual,,GHG Intensity (Total tonnes CO2e/ Oz of Ore Processed),, ,0.03,0.02
,Actual,,GHG Intensity (Total tonnes CO2e/ Oz of Gold Produced),, ,0.40,0.38
,,,,, ,,
,,Abstract Bold,Scope 3 Estimate GHG Emissions,,305-3,,
,,Abstract Bold,Upstream,, ,,
,Actual,,Category 1 - Purchased Goods & Services  (tonnes CO2e),, ,"1,482,690","1,352,316"
,Actual,,Category 2 - Capital Goods  (tonnes CO2e),, ,"80,956","191,169"
,Actual,,Category 3 - Fuel- and -related activities (tonnes CO2e),, ,"203,907","234,690"
,Actual,,Category 4 - Upstream transportation & distribution (tonnes CO2e),, ,"119,440","92,212"
,Actual,,Category 5 - Waste generated in operations (tonnes CO2e),, ,"18,527","16,775"
,Actual,,Category 6 - Business travel (tonnes CO2e),, ,"22,350","20,835"
,Actual,,Category 7 - Employee commuting (tonnes CO2e),, ,"118,473","86,682"
,Actual,,Category 8 - Upstream leased assets (tonnes CO2e),, ,0,0
,Actual,,Category 9 - Downstream transportation & distribution (tonnes CO2e),, ,0,0
,,Abstract Bold,Downstream,, ,,
,Actual,,Category 10 - Processing of sold products (tonnes CO2e),, ,316,397
,Actual,,Category 11 - Use of sold products (tonnes CO2e),, ,"19,690","24,730"
,Actual,,Category 12 - End-of-life treatment of sold products (tonnes CO2e),, ,316,397
,Actual,,Category 13 - Downstream leased assets (tonnes CO2e),, ,0,0
,Actual,,Category 14 - Franchises (tonnes CO2e),, ,0,0
,Actual,,Category 15 - Investments (tonnes CO2e),, ,"105,692",346
,Actual,Bold,Total Scope 3 (tonnes CO2e),, ,"2,172,357","2,020,549"
,,,,, ,,
,,Abstract Bold,Other Significant Air Emissions Dust Noise and Vibration,EM-MM-120a.1,305-7,,
,Actual,,Sulfur oxides (Sox) (tonnes),, ,"1,428","1,721"
,Actual,,Noxides (Nox) (tonnes),, ,"22,001","25,850"
,,,,, ,,
,,Abstract Bold,Water Management,, ,,
,,Abstract Bold,Water Withdrawal (m³),EM-MM-140a.1,"303-3, 303-5",,
,Actual,,Surface water ,, ,"38,043,436","39,497,602"
,Actual,,"Open water bodies (High) for use
",, ,"7,786,658","7,280,763"
,Actual,,"Open water bodies (Low) for use
",, ,0,0
,Actual,,"Surface contact water from precipitation and runoff (High) managed
",, ,"21,877,315","15,727,374"
,Actual,,"Surface contact water from precipitation and runoff (Low) managed
",, ,"6,534,276","13,072,186"
,Actual,,"Water collected from rain and/or snow melt (High) for use
",, ,"866,476","701,043"
,Actual,,"Water collected from rain and/or snow melt (Low) for use
",, ,"236,606",0
,Actual,," Open water bodies (High) dewatered
",, ,"11,014","889,784"
,Actual,," Open water bodies (Low) dewatered
",, ,"731,091","1,826,452"
,Actual,,Groundwater,, ,"15,610,878","27,177,561"
,Actual,,"Wells (High) for use
",, ,"162,525","150,453"
,Actual,,"Wells (Low) for use
",, ,"273,630","178,308"
,Actual,, Mine dewatering (High) managed,, ,"577,378","1,344,318"
,Actual,, Mine dewatering (Low) managed,, ,"11,780,802","10,683,137"
,Actual,, Mine dewatering (High) for use,, ,0,0
,Actual,, Mine dewatering (Low) for use,, ,"2,816,543","14,821,345"
,Actual,,Third-party water ,, ,"531,978","482,748"
,Actual,,Municipal water system (High ) for use,, ,"531,978","482,748"
,Actual,,Third-party water (Low) for use,, ,0,0
,Actual,Bold,Total operational water withdrawal (m3),, ,"12,674,416","23,614,660"
,Actual,Bold,Total freshwater withdrawal for use (m3),, ,"9,347,637","8,615,007"
,Actual,Bold,Total low value water withdrawal for use (m3),, ,"3,326,779","14,999,653"
,Actual,,Freshwater withdrawn for use from areas with high or extremely high baseline water stress (%),, ,12%,
,Actual,,Percentage water withdrawn from areas with high or extremely high baseline water stress according to WDI (%),, ,16%,4%
,Actual,,Water consumption from areas with high or extremely high baseline water stress (%),, ,27%,
,,,,, ,,
,,Abstract Bold,Water Withdrawal Intensity ,EM-MM-140a.1,303-3,,
,Actual,,Freshwater withdrawn for use intensity (m3 of water per tonned of ore processed),, ,0.20,0.13
,Actual,,Freshwater withdrawn for use intensity (m3 of water per gold oz),, ,3.17,2.45
,,,,, ,,
,,Abstract Bold,Water Used and Recycled (m³),EM-MM-140a.1 ,303-5,,
,Actual,Bold,Total water comsumption,, ,"30,330,094","33,156,853"
,Actual,,Total water used ,, ,"57,862,634","81,677,767"
,Actual,,Water recycled ,, ,"45,188,218","58,063,107"
,Actual,,Percent water recycled,, ,78%,71%
,,,,, ,,
,,Abstract Bold,Water Discharge (m³),EM-MM-140a.2,"303-4, 306-1,306-5",,
,Actual,Bold,Water discharged,, ,"23,856,198","34,001,058"
,Actual,Bold,Water discharged to fresh water bodies ,, ,"20,429,946","29,198,630"
,Actual,,Untreated water discharged to fresh water bodies ,, ,"22,336","7,294,035"
,Actual,,Primary treated  water discharged to fresh water bodies ,, ,"8,626,919","10,763,049"
,Actual,,Secondary treated water discharged to fresh water bodies ,, ,"1,920,258","1,374,387"
,Actual,,Tertiary treated water discharged to fresh water bodies ,, ,"9,860,433","9,767,159"
,Actual,Bold,Discharged to sea/ocean,, ,"316,356","1,532,709"
,Actual,,Untreated water discharged to sea/ocean,, ,0,0
,Actual,,Primary treated water discharged to sea/ocean,, ,"233,144","1,164,724"
,Actual,,Secondary treated water discharged to sea/ocean,, ,"83,212","367,985"
,Actual,,Tertiary treated water discharged to sea/ocean,, ,0,0
,Actual,Bold,Discharged underground,, ,0,"217,677"
,Actual,,Untreated water discharged underground,, ,0,"217,677"
,Actual,,Primary treated water discharged underground,, ,0,0
,Actual,,Secondary treated water discharged underground,, ,0,0
,Actual,,Tertiary treated water discharged underground,, ,0,0
,Actual,Bold,Discharge to third party for reclamation,, ,"3,109,896","3,052,042"
,Actual,,Untreated water discharged to third party for reclamation,, ,"3,109,896","3,052,042"
,Actual,,Primary treated  water discharged to third party for reclamation,, ,0,0
,Actual,,Secondary treated water discharged to third party for reclamation,, ,0,0
,,,Water Treatment and Monitoring,, ,,
,,,,, ,,
,,Abstract Bold,Water Treatment and Monitoring,EM-MM-140a.1,"303-3, 303-5",,
,,Abstract Bold,Water Discharge,, ,,
,Actual,, of incidents of non-compliance with discharge limits,, ,0,6
,,,,, ,,
,,Abstract Bold,Tailings and Waste,, ,,
,,Abstract Bold,"Materials, Tailings & Waste",EM-MM-000.A,301-1,,
,,Abstract Bold,Production,, ,,
,Actual,,Total ore processed (tonnes),, ,"46,164,794","64,048,754"
,Actual,,Total gold (Oz),, ,"2,945,433","3,520,338"
,Thousands,,Total silver (thousands of Oz),, ,"2,045","2,409,152"
,Actual,,Mill zinc (t),, ,"8,195","2,617"
,Actual,,Mill copper (t),, ,"2,901","7,702"
,,,,, ,,
,,Abstract Bold,Total Waste Generated (Mineral and Non-Mineral Waste),EM- MM-150a.7,306-2,,
,Actual,,Total non-hazardous waste generated (tonnes),, ,"137,623,118","157,116,797"
,Actual,,Total hazardous waste generated (tonnes),, ,"47,579,052","47,402,729"
,Actual,Bold,Total waste generated (tonnes),, ,"185,202,170","204,519,527"
,Actual,,Total waste recycled (tonnes),, ,"37,293,239","31,970,431"
,Actual,,Percentage (%) waste recycled (tonnes),, ,20%,16%
,,,,, ,,
,,Abstract Bold,Mined Material ," EM-MM-150a.5, EM-MM-150.6,  EM-MM-150a.8",306-2,,
,Actual,,Total waste rock mined (tonnes),, ,"143,990,445","143,564,421"
,Actual,,Total potentially hazardous waste rock mined (tonnes),, ,"38,885,544","38,805,281"
,Actual,,Potentially hazardous waste rock returned underground as backfill or in pits (tonnes),, ,"4,010,570","3,695,423"
,Actual,,Potentially hazardous waste rock used in tailings dam construction (tonnes),, ,"286,632","203,053"
,Actual,,Potentially hazardous  waste rock used in other construction (tonnes),, ,"786,277","1,161,865"
,Actual,,Potentially hazardous  waste rock remaining on surface or removed from waste rock piles (tonnes),, ,"33,802,065","33,744,940"
,Actual,,Total non-hazardous waste rock mined (tonnes),, ,"105,104,901","104,759,140"
,Actual,,Non-hazardous waste rock returned underground as backfill or in pits (tonnes),, ,"2,151,553","1,338,601"
,Actual,,Non-hazardous waste rock used in tailings dam construction (tonnes),, ,"18,857,306","18,003,462"
,Actual,,Non-hazardous waste rock used in other construction (tonnes),, ,"7,220,295","3,520,641"
,Actual,,Non-hazardous waste rock placed on surface or removed from waste rock piles  (tonnes),, ,"76,875,747","81,896,436"
,Actual,,Percentage (%) waste rock recycled,, ,23%,19%
,Actual,Bold,Total mill tailings produced (tonnes),, ,"41,122,884","60,933,565"
,Actual,,Total potentially hazardous mill tailings produced (tonnes),, ,"8,681,158","8,575,908"
,Actual,,Potentially hazardous mill tailings returned underground as backfill (tonnes),, ,"1,429,257","1,469,851"
,Actual,,Potentially hazardous mill tailings placed in surface tailings containment (tonnes),, ,"7,251,901","7,106,057"
,Actual,,Total non-hazardous mill tailings produced (tonnes),, ,"32,441,726","52,357,657"
,Actual,,Non-hazardous mill tailings returned underground as backfill (tonnes),, ,"2,530,875","2,559,257"
,Actual,,Non-hazardous mill tailings placed in surface tailings containment (tonnes),, ,"29,910,851","49,798,400"
,Actual,,Percentage (%) mill tailings recycled,, ,10%,7%
,Actual,Bold,Total mined material,, ,"185,113,329","204,497,986"
,Actual,Bold,Total hazardous mined material,, ,"47,566,702","47,381,189"
,Actual,Bold,Total non-hazardous mine material,, ,"137,546,627","157,116,797"
,,,,, ,,
,,Abstract Bold,Domestic Waste & Non-Mineral Hazardous Waste, EM-MM-150a.4,306-2,,
,Actual,,Total non-hazardous domestic waste generated (tonnes),, ,"76,491","57,019"
,Actual,,Domestic waste (garbage) sent to an on-site landfill (tonnes),, ,"47,321","29,816"
,Actual,,Domestic waste (garbage) sent to an on-site incinerator (tonnes),, ,"1,066",975
,Actual,,Domestic waste (garbage) sent to an off-site landfill (tonnes),, ,"7,446","7,766"
,Actual,,Domestic waste (garbage) sent to an off-site incinerator (tonnes),, ,184,185
,Actual,,Paper and cardboard sent to recycling (tonnes),, ,732,291
,Actual,,Plastics sent to recycling (tonnes),, ,157,87
,Actual,,Metals sent to recycling (tonnes),, ,"14,751","13,041"
,Actual,,Wood sent to recycling (tonnes),, ,940,945
,Actual,,Tires sent to recycling (tonnes),, ,"2,805","3,314"
,Actual,,Other sent to recycling (tonnes),, ,"1,089",601
,Actual,Bold,Total domestic waste recycled (tonnes),, ,"20,474","18,278"
,Actual,Bold,Non-Hazardous \Domestic Waste Recycled (%),, ,27%,32%
,Actual,Bold,Total hazardous non-mineral waste generated (tonnes),, ,"12,350","21,541"
,Actual,, Used oil sent off site for treatment or used on-site as fuel (tonnes),, ,"2,215","2,954"
,Actual,, Contaminated soil produced during the year (tonnes),, ,"3,908","14,964"
,Actual,,Hazardous waste shipped to and off-site disposal facility (tonnes),, ,"6,227","3,622"
,Actual,,Total non-mineral waste generated (tonnes),, ,"88,841","78,560"
,,,,, ,,
,,Abstract Bold,Transport of Hazardous Waste,,306-4,,
,Actual,,Total weight of hazardous waste transported (tonnes),, ,"7,461","4,824"
,Actual,,  Hazardous waste transported imported to the mine (tonnes),, ,0,0
,Actual,, Hazardous waste transport exported from the mine (tonnes),, ,"7,461","4,824"
,Actual,,Hazardous waste shipped internationally (%),, ,0%,0%
,,,,, ,,
,,Abstract Bold Color,Social,, ,,
,,Abstract Bold,Health & Safety,, ,,
,,Abstract Bold,Combined Health and Safety Performance,EM-MM-320a.1,403-09,,
,,Abstract Bold,Exploration,, ,,
,Actual,,Person-hours worked,, ,"2,217,325","1,486,578"
,Actual,, of fatalities,, ,1,0
,Actual,,Lost time accidents,, ,9,1
,Actual,,Light duty incidents,, ,6,1
,Actual,,Medical aid incident,, ,7,4
,Actual,,Lost-time injury frequency per 200k person-hours worked,, ,0.81,0.13
,Actual,,Lost-time injury frequency per 1M person-hours worked,, ,4.06,0.67
,Actual,,Total incidents frequency per 200k person-hours worked frequency,, ,1.98,0.81
,Actual,,Total incidents frequency per 1M person-hours worked frequency,, ,9.92,4.04
,,Abstract Bold,Administration (Head Office),, ,,
,Actual,,Person-hours worked,, ,"1,054,995","1,200,884"
,Actual,, of fatalities,, ,0,0
,Actual,,Lost time accidents,, ,0,0
,Actual,,Light duty incidents,, ,0,0
,Actual,,Medical aid incident,, ,0,0
,Actual,,Lost-time injury frequency per 200k person-hours worked,, ,0.00,0.00
,Actual,,Lost-time injury frequency per 1M person-hours worked,, ,0.00,0.00
,Actual,,Total incidents frequency per 200k person-hours worked frequency,, ,0.00,0.00
,Actual,,Total incidents frequency per 1M person-hours worked frequency,, ,0.00,0.00
,,Abstract Bold,Northern Territory Operations,, ,,
,Actual,,Person-hours worked,, ,"124,643","86,813"
,Actual,, of fatalities,, ,0,0
,Actual,,Lost time accidents,, ,0,0
,Actual,,Light duty incidents,, ,2,0
,Actual,,Medical aid incident,, ,0,0
,Actual,,Lost-time injury frequency per 200k person-hours worked,, ,0.00,0.00
,Actual,,Lost-time injury frequency per 1M person-hours worked,, ,0.00,0.00
,Actual,,Total incidents frequency per 200k person-hours worked frequency,, ,3.21,0.00
,Actual,,Total incidents frequency per 1M person-hours worked frequency,, ,16.05,0.00
,,Abstract Bold,Agnico Eagle,, ,,
,Actual,,Person-hours worked,, ,"31,020,141","34,624,762"
,Actual,, of fatalities,, ,1,0
,Actual,,Lost time accidents,, ,67,55
,Actual,,Light duty incidents,, ,33,19
,Actual,,Medical aid incident,, ,50,75
,Actual,,Lost-time injury frequency per 200k person-hours worked,, ,0.43,0.32
,Actual,,Lost-time injury frequency per 1M person-hours worked,, ,2.16,1.59
,Actual,,Total incidents frequency per 200k person-hours worked frequency,, ,0.97,0.86
,Actual,,Total incidents frequency per 1M person-hours worked frequency,, ,4.84,4.30
,,,,, ,,
,,Abstract Bold,Employee Health and Safety Performance,EM-MM-320a.1,403-09,,
,,Abstract Bold,Exploration,, ,,
,Actual,,Person-hours worked,, ,0,0
,Actual,, of fatalities,, ,0,0
,Actual,,Lost time accidents,, ,0,0
,Actual,,Light duty incidents,, ,0,0
,Actual,,Medical aid incident,, ,0,0
,Actual,,Lost-time Injury Frequency per 200k Person-hours Worked,, ,0.00,0.00
,Actual,,Lost-time Injury Frequency per 1M Person-hours Worked,, ,0.00,0.00
,Actual,,Total Incidents Frequency per 200k Person-hours Worked Frequency,, ,0.00,0.00
,Actual,,Total Incidents Frequency per 1M Person-hours Worked Frequency,, ,0.00,0.00
,,Abstract Bold,Administration (Head Office),, ,,
,Actual,,Person-hours worked,, ,"1,054,995","1,200,884"
,Actual,, of fatalities,, ,0,0
,Actual,,Lost time accidents,, ,0,0
,Actual,,Light duty incidents,, ,0,0
,Actual,,Medical aid incident,, ,0,0
,Actual,,Lost-time injury frequency per 200k person-hours worked,, ,0.00,0.00
,Actual,,Lost-time injury frequency per 1M person-hours worked,, ,0.00,0.00
,Actual,,Total incidents frequency per 200k person-hours worked frequency,, ,0.00,0.00
,Actual,,Total incidents frequency per 1M person-hours worked frequency,, ,0.00,0.00
,,Abstract Bold,Northern Territory Operations,, ,,
,Actual,,Person-hours worked,, ,"124,643","51,773"
,Actual,, of fatalities,, ,0,0
,Actual,,Lost time accidents,, ,0,0
,Actual,,Light duty incidents,, ,2,0
,Actual,,Medical aid incident,, ,0,0
,Actual,,Lost-time injury frequency per 200k person-hours worked,, ,0.00,0.00
,Actual,,Lost-time injury frequency per 1M person-hours worked,, ,0.00,0.00
,Actual,,Total incidents frequency per 200k person-hours worked frequency,, ,3.21,0.00
,Actual,,Total incidents frequency per 1M person-hours worked frequency,, ,16.05,0.00
,,Abstract Bold,Agnico Eagle,, ,,
,Actual,,Person-hours worked,, ,"18,063,420","20,103,413"
,Actual,, of fatalities,, ,0,0
,Actual,,Lost time accidents,, ,27,25
,Actual,,Light duty incidents,, ,16,7
,Actual,,Medical aid incident,, ,24,30
,Actual,,Lost-time injury frequency per 200k person-hours worked,, ,0.30,0.25
,Actual,,Lost-time injury frequency per 1M person-hours worked,, ,1.49,1.24
,Actual,,Total incidents frequency per 200k person-hours worked frequency,, ,0.74,0.62
,Actual,,Total incidents frequency per 1M person-hours worked frequency,, ,3.71,3.08
,,,,, ,,
,,Abstract Bold,Contractor Health and Safety Performance, EM-MM-320a.1,403-09,,
,,Abstract Bold,Exploration,, ,,
,Actual,,Person-hours worked,, ,"2,217,325","1,486,578"
,Actual,,Fatalities,, ,1,0
,Actual,,Lost time accidents,, ,9,1
,Actual,,Light duty incidents,, ,6,1
,Actual,,Medical aid incident,, ,7,4
,Actual,,Lost-time injury frequency per 200k person-hours worked,, ,0.81,0.13
,Actual,,Lost-time injury frequency per 1M person-hours worked,, ,4.06,0.67
,Actual,,Total incidents frequency per 200k person-hours worked frequency,, ,1.98,0.81
,Actual,,Total incidents frequency per 1M person-hours worked frequency,, ,9.92,4.04
,,Abstract Bold,Administration (Head Office),, ,,
,Actual,,Person-hours worked,, ,0,0
,Actual,, of fatalities,, ,0,0
,Actual,,Lost time accidents,, ,0,0
,Actual,,Light duty incidents,, ,0,0
,Actual,,Medical aid incident,, ,0,0
,Actual,,Lost-time injury frequency per 200k person-hours worked,, ,0.00,0.00
,Actual,,Lost-time injury frequency per 1M person-hours worked,, ,0.00,0.00
,Actual,,Total incidents frequency per 200k person-hours worked frequency,, ,0.00,0.00
,Actual,,Total incidents frequency per 1M person-hours worked frequency,, ,0.00,0.00
,,Abstract Bold,Northern Territory Operations,, ,,
,Actual,,Person-hours worked,, ,0,"35,040"
,Actual,, of fatalities,, ,0,0
,Actual,,Lost time accidents,, ,0,0
,Actual,,Light duty incidents,, ,0,0
,Actual,,Medical aid incident,, ,0,0
,Actual,,Lost-time injury frequency per 200k person-hours worked,, ,0.00,0.00
,Actual,,Lost-time injury frequency per 1M person-hours worked,, ,0.00,0.00
,Actual,,Total incidents frequency per 200k person-hours worked frequency,, ,0.00,0.00
,Actual,,Total incidents frequency per 1M person-hours worked frequency,, ,0.00,0.00
,,Abstract Bold,Agnico Eagle,, ,,
,Actual,,Person-hours worked,, ,"12,956,721","14,521,349"
,Actual,, of fatalities,, ,1,0
,Actual,,Lost time accidents,, ,40,30
,Actual,,Light duty incidents,, ,17,12
,Actual,,Medical aid incident,, ,26,45
,Actual,,Lost-time injury frequency per 200k person-hours worked,, ,0.62,0.41
,Actual,,Lost-time injury frequency per 1M person-hours worked,, ,3.09,2.07
,Actual,,Total incidents frequency per 200k person-hours worked frequency,, ,1.28,1.20
,Actual,,Total incidents frequency per 1M person-hours worked frequency,, ,6.41,5.99
,,,,, ,,
,,Abstract Bold,Community Health & Safety,, ,,
,,Abstract Bold,Incidents (Non-COVID Related) Affecting Communities where Emergency Procedures were Activated,, ,,
,Actual,,Agnico Eagle,, ,0,
,Actual,,LaRonde,, ,0,
,Actual,,Goldex,, ,0,
,Actual,,Kittilä,, ,0,
,Actual,,Pinos Altos,, ,0,
,Actual,,La India,, ,0,
,Actual,,Meadowbank,, ,0,
,Actual,,Meliadine,, ,0,
,Actual,,Hope Bay,, ,0,
,Actual,,Macassa,, ,0,
,Actual,,Detour Lake,, ,0,
,Actual,,Fosterville,, ,0,
,Actual,,Exploration,, ,0,
,Actual,,Administration (Head Office),, ,0,
,Actual,,Northern Territory Operations,, ,0,
,,,,, ,,
,,Abstract Bold,Workforce,, ,,
,,Abstract Bold,"Global Workforce by Employment Type, Contract, Gender and Region",EM-MM-000.B,2-7,,
,,Abstract Bold,Exploration Canada,, ,,
,Actual,Bold,Total contractors,, ,84,123
,Actual,Bold,Total Agnico employees,, ,83,92
,Actual,,Total employees male,, ,66,66
,Actual,,Total employees female,, ,17,26
,Actual,,Total agnico permanent,, ,57,60
,Actual,,Permanent male,, ,47,47
,Actual,,Permanent female,, ,10,13
,Actual,,Total agnico temporary,, ,25,28
,Actual,,Temporary male,, ,19,18
,Actual,,Temporary female,, ,6,10
,Actual,,Total agnico on-call,, ,0,0
,Actual,,On-call male,, ,0,0
,Actual,,On-call female,, ,0,0
,Actual,,Total student,, ,1,4
,Actual,,Student male,, ,0,1
,Actual,,Student female,, ,1,3
,Actual,Bold,Percentage contractors,, ,50%,57%
,Actual,Bold,Total workforce,, ,167,215
,,Abstract Bold,Exploration USA,, ,,
,Actual,Bold,Total contractors,, ,7,4
,Actual,Bold,Total Agnico employees,, ,14,11
,Actual,,Total employees male,, ,11,9
,Actual,,Total employees female,, ,3,2
,Actual,,Total agnico permanent,, ,12,10
,Actual,,Permanent male,, ,9,8
,Actual,,Permanent female,, ,3,2
,Actual,,Total agnico temporary,, ,2,1
,Actual,,Temporary male,, ,2,1
,Actual,,Temporary female,, ,0,0
,Actual,,Total agnico on-call,, ,0,0
,Actual,,On-call male,, ,0,0
,Actual,,On-call female,, ,0,0
,Actual,,Total student,, ,0,0
,Actual,,Student male,, ,0,0
,Actual,,Student female,, ,0,0
,Actual,Bold,Percentage contractors,, ,33%,27%
,Actual,Bold,Total workforce,, ,21,15
,,Abstract Bold,Exploration Europe Sweden,, ,,
,Actual,Bold,Total contractors,, ,1,1
,Actual,Bold,Total Agnico employees,, ,7,7
,Actual,,Total employees male,, ,6,6
,Actual,,Total employees female,, ,1,1
,Actual,,Total agnico permanent,, ,7,7
,Actual,,Permanent male,, ,6,6
,Actual,,Permanent female,, ,1,1
,Actual,,Total agnico temporary,, ,0,0
,Actual,,Temporary male,, ,0,0
,Actual,,Temporary female,, ,0,0
,Actual,,Total agnico on-call,, ,0,0
,Actual,,On-call male,, ,0,0
,Actual,,On-call female,, ,0,0
,Actual,,Total student,, ,0,0
,Actual,,Student male,, ,0,0
,Actual,,Student female,, ,0,0
,Actual,Bold,Percentage contractors,, ,13%,13%
,Actual,Bold,Total workforce,, ,8,8
,,Abstract Bold,Exploration Europe Finland,, ,,
,Actual,Bold,Total contractors,, ,0,8
,Actual,Bold,Total Agnico employees,, ,9,17
,Actual,,Total employees male,, ,7,12
,Actual,,Total employees female,, ,2,5
,Actual,,Total agnico permanent,, ,9,16
,Actual,,Permanent male,, ,7,12
,Actual,,Permanent female,, ,2,4
,Actual,,Total agnico temporary,, ,0,1
,Actual,,Temporary male,, ,0,0
,Actual,,Temporary female,, ,0,1
,Actual,,Total agnico on-call,, ,0,0
,Actual,,On-call male,, ,0,0
,Actual,,On-call female,, ,0,0
,Actual,,Total student,, ,0,0
,Actual,,Student male,, ,0,0
,Actual,,Student female,, ,0,0
,Actual,Bold,Percentage contractors,, ,0%,32%
,Actual,Bold,Total workforce,, ,9,25
,,Abstract Bold,Exploration Mexico,, ,,
,Actual,Bold,Total contractors,, ,18,4
,Actual,Bold,Total Agnico employees,, ,17,9
,Actual,,Total employees male,, ,13,6
,Actual,,Total employees female,, ,4,3
,Actual,,Total agnico permanent,, ,17,9
,Actual,,Permanent male,, ,13,6
,Actual,,Permanent female,, ,4,3
,Actual,,Total agnico temporary,, ,0,0
,Actual,,Temporary male,, ,0,0
,Actual,,Temporary female,, ,0,0
,Actual,,Total agnico on-call,, ,0,0
