Currency,Unit,,Description,FY 09,FY 10,FY 11,FY 12,FY 13,FY 14,FY 15,FY 16,FY 17,FY 18,FY 19,FY 20,FY 21,FY 22,FY 23
$,Thousand,Indent,     Kittila - Stripping costs, ,,"-3,018",,,,,,,,,,,,
$,Thousand,Indent,Kittila - Cash operating costs,"43,775","82,884","106,138","99,441","84,694","119,820","125,753","141,645","148,293","161,220","136,965","167,525","199,683","212,620","204,120"
$,Actual,Indent+Bold,  Kittila - Total cash costs ( Per ounce of commercial production),668,657,739,565,601,845,709,699,753,853,736,805,835,980,871
€,Thousand,Indent,Kittila - Minesite operating costs (EUR),"30,568","63,464","76,817","75,305","64,102","89,987","111,329","128,094","131,032","136,362","121,473","146,326","168,495","194,631","193,135"
€,Actual,Indent,Kittila - Minesite costs per tonne (EUR) (of commercial prod.),54.00,66.00,75.00,69.00,73.00,78.00,76.00,77.00,78.00,75.00,76.00,86.00,82.00,101.00,99.00
,,Abstract bold color Indent,Capital Expenditures, ,,,,,,,,,,,,,,
$,Thousand,,Total Capital Expenditures, ,,,,,,"56,404","75,904","87,789","173,704","179,779","203,406","119,807","101,563","73,765"
$,Thousand,,Total Sustaining Capital Expenditures, ,,,,,,"45,749","62,008","57,079","54,331","78,182","39,943","42,632","48,799","47,355"
,,Abstract bold color Indent,Supplementary Data,,,,,,,,,,,,,,,
$,Thousand,,Capital Expenditures,"76,228","51,791","72,674","48,700","78,460","104,347","54,315","73,204","84,709","166,482","171,744","196,350","114,487","94,118","73,765"
$,Thousand,,Capitalized Exploration,"13,795","20,177","13,840","11,336","5,310","1,873","2,091","2,700","3,080","7,223","8,035",,"5,320","7,445","7,237"
,,Abstract bold color Indent,Expense Breakdown By Major Categories,,,,,,,,,,,,,,,
,Actual,,Labour,,27%,30%,34%,33%,31%,25%,23%,22%,24%,21%,21%,23%,19%,19%
,Actual,, Contractors,,22%,15%,9%,11%,12%,20%,27%,11%,35%,37%,32%,25%,27%,27%
,Actual,,Energy,,12%,12%,13%,13%,12%,9%,9%,20%,9%,8%,8%,9%,13%,10%
,Actual,,Chemical,,11%,10%,11%,11%,12%,12%,11%,8%,10%,8%,8%,10%,10%,12%
,Actual,,Consumables/Other,,28%,33%,33%,32%,33%,34%,30%,39%,22%,26%,31%,33%,31%,32%
,Actual,Bold,Total,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
$,Thousand,,Depreciable Assets,,"544,664",,"662,139","708,443","808,649","841,181","832,547","878,579","916,686","1,081,687","1,271,747","1,239,265","1,246,248","1,354,499"
$,Actual,,Total Cash Costs (US$/oz),668,657,739,565,601,845,709,699,753,853,736,805,835,980,871
